FileName	PredictedText
ban_02194_00026026637	ক্রাইম পেট্রোলিয়াম সার্ভিসেস আজ বড় প্রতিষ্ঠান
ban_00779_01908589952	বৈরুত লেবাননের রাজধানী
ban_03042_01446017593	শেখ মুজিবুর রহমান ছয় দফা স্বায়ত্তশাসন পরিকল্পনা প্রস্তাবক
ban_00737_01315164562	আজান কয়টায়
ban_01232_00304731656	এই হলো ডেভিড বেকহামের বিশ্বকাপ পরিসংখ্যান
ban_03042_01575554657	এস বি আই সি একটি উৎপাদনমুখী কম্পানি
ban_00737_00327250025	মাটিকাটা রোডে ডানদিকে বাগনান
ban_00737_00160087123	জুনায়েদ এয়ারলাইন্সের 363 যথাযথ সময়ে আছে এটি আছে দুপুর তিনটায় ছেড়ে যাবে
ban_00779_00974897658	বাড়ছে লেডি গাগার বেদ রমান্স
ban_01232_01132117030	পোর্ট গরিকা মন্টিনেগ্রোর রাজধানী
ban_01232_01852361689	এমিলির করে দুইটি গোল আছে
ban_00779_00549241477	গৃহ বিশ্বের পাঁচটি রিসিভিং টাচ ডাউন আছে
ban_01701_00400351235	জনকে মোবাইলে ভিডিও কল করা হচ্ছে
ban_02194_00167072940	দুঃখিত কখন
ban_00737_00702020163	খালেদা জিয়ার স্বামী সাবেক রাষ্ট্রপতি লেফটেনেন্ট জেনারেল জিয়াউর রহমান বীর উত্তম
ban_03042_00994242654	ফারইস্ট নিটিং অ্যান্ড ডাইং ইন্ডাস্ট্রিজ স্টাইলিং এবং নিটওয়্যার বিষয়বস্তুর নতুন ধারণার উপর কাজ করে
ban_01232_01714797997	ঢাকার সেনেগালের রাজধানী
ban_03042_01789639996	এই হল আপনার ঘরের জন্য রিমাইন্ডার আপনি কি এটা সেট করতে চান
ban_02194_01946305161	ভেজ ভাই একটি আমেরিকান বহুজাতিক কনজিউমার ইলেকট্রনিক্স কর্পোরেশন
ban_01232_01768696121	তাপস পাঁচ উইকেট অর্জন করেছেন
ban_01701_00612959398	কিংস্টন সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ রাজধানী
ban_01232_02030451348	সিটি জেনারেল ইন্স্যুরেন্স কোম্পানি বাংলাদেশের কিছু বিশিষ্ট বাণিজ্যিক ব্যক্তিত্ব শিল্পপতি ও ব্যাংকারদের পৃষ্ঠপোষকতা করা হয়
ban_00737_01286428892	তারা এক ইনিংসে 5 রানে জিতেছে
ban_03042_00040477843	ইমেইল বাতিল করা হলো
ban_00737_00180288955	পরিবহন খাতে আফতাব অটোমোবাইলস একটি অতি পরিচিত নাম
ban_03042_01162056382	কনফিডেন্স সিমেন্ট বাংলাদেশের সিমেন্ট শিল্পে অনন্য নাম
ban_01232_00402729747	এই হল আপনার প্রতিদিনের রিমাইন্ডার সন্ধ্যা সাতটায় আপনি কি এটা সেট করতে চান
ban_00737_00791693034	প্রথম পর্বে ঢাকা ক্লাব উত্তরা ক্লাবের খেলা 5 বলে টাইপ হয়েছে
ban_01232_01517665911	এগিয়ে চলতে হলে যান এবং গুগল একাউন্টে প্রবেশ করুন
ban_03042_00165201209	ঢাকা লীগের তালিকায় গুলশান ক্লাব প্রথম অবস্থানে আছে
ban_00737_00183428707	চায়না কমিউনিকেশনস কনস্ট্রাকশন চীনের বৃহত্তম বন্দর নির্মাণ নকশা এবং ড্রেজিং কম্পানি
ban_00779_01707096523	আপনি যাকে খুঁজছেন তার পরিচিতির নাও থাকতে পারে খুঁজে নিতে স্পর্শ করুন
ban_03042_00138398987	আপনি যাকে বার্তা দিতে চাইছেন তাঁর পরিচিতি নাও থাকতে পারে খুঁজে নিতে স্পর্শ করুন
ban_01701_01194311128	বসুন্ধরা সিটি
ban_03042_00996090173	এপেক্স ফুডস লিমিটেড বিআরসি সনদপ্রাপ্ত খাদ্য উৎপাদন ও বিপণন প্রতিষ্ঠান
ban_02194_01432235831	এসি চ্যাম্পিয়নশিপ খেলাটি 2011 সালের 14 ফেব্রুয়ারি শনিবার সকাল 10 টায় অনুষ্ঠিত হয়েছে
ban_02194_00805798563	এই হল পরবর্তী অনুমোদন সমূহ
ban_01232_01120555555	কন্টিনিউ করতে চাইলে পাঠান বাতিলের স্পর্শ করুন
ban_00737_01069575877	গুগোল 705 মার্কিন ডলারে লেনদেন করছে
ban_01701_01437026492	বাংলাদেশ বিমান 363 বিলম্বিত এখন এটি আগামীকাল দুপুর 3 টায় প্রস্থানের জন্য তালিকাভুক্ত
ban_03042_00127431608	ঢাকার জনপ্রিয় আকর্ষণ গুলো যা
ban_00737_01117839596	আক্তার আবার ট্রেনিং এটা 2.3% বেড়ে 750 ডলার হয়েছে
ban_00737_00543231473	ময়মনসিংহ জেলা
ban_01232_01165838667	এনভয় টেক্সটাইল টেক্সটাইল পণ্যের মান সঠিকভাবে নিয়ন্ত্রণ করে
ban_00779_01098004131	অনুরোধ বাতিল করা হলো
ban_01232_01971716209	ডাচ বাংলা ব্যাংক সর্বাধিক এটিএম বুথ নেটওয়ার্ক পরিচালনা করে
ban_01232_00670914299	এটি আবাহনীর পর্যায় তালিকা
ban_02194_01667334275	কল করা হলো
ban_01232_01146265815	ওয়েস্ট ফারমার্স অস্ট্রেলিয়া বাংলাদেশ নিউজিল্যান্ড ও যুক্তরাজ্যের ব্যবসা করছে
ban_03042_01674779285	এইচসিএল হোল্ডিংস বিশ্বের সর্ববৃহৎ স্বাস্থ্যসেবার সুবিধার একটি লাভজনক প্রতিষ্ঠান
ban_00737_01592402579	চেঞ্জার অ্যাপ একটি বহুল ব্যবসায়ীক আদেশপ্রাপ্ত চিনা রাসায়নিক কোম্পানি
ban_00737_02101880397	আপনার মাকে ট্রেডিংয়ের এটা 2.3% নেমে 750 দূরে থেকেছে
ban_01701_01608323765	জিবুতি জিবুতির রাজধানী
ban_00737_01806432717	লিস্টেনস্টাইন এর রাজধানী
ban_03042_01911993876	এরা কোল্ডপ্লে ব্যান্ডের সদস্য
ban_03042_01031567313	এখানে মেক্সিকো ক্যামেরুন এর খেলার পরিসংখ্যান দেয়া আছে
ban_01232_01033065691	মহান ভাষা আন্দোলনের অনবদ্য ভূমিকা রাখায় আব্দুল জব্বারকে বাংলাদেশ সরকার 2000 সালে একুশে পদক প্রদান করেন
ban_03042_00233095895	শাহজিবাজার পাওয়ার কম্পানি বাংলাদেশের অন্যতম একটি বিদ্যুৎ উৎপাদনকারী প্রতিষ্ঠান
ban_00737_00143536357	আপনি এই কয়েকধাপ হেঁটেছেন
ban_03042_01752231389	নন্দন পার্কের রাইড এ যা রয়েছে
ban_00737_01872852926	চৌমাথায় কাজী নজরুল ইসলাম সরণি প্রথম প্রস্থান ধরুন
ban_00737_01967724014	ঝিনাইদহ
ban_02194_02042385227	ঢাকা-ময়মনসিংহ মহাসড়কে বামদিকে বাক নিন
ban_01232_00382488346	জসীমউদ্দীন একজন বিখ্যাত বাঙালি কবি
ban_03042_00885839034	এই সিনেমাগুলো স্টার সিনেপ্লেক্স এ চলছে
ban_03042_01860259547	ইউনাইটেড হেল্প গ্রুপ এর হেডকোয়ার্টার হপকিনস মিনেসোটা মার্কিন যুক্তরাষ্ট্রে অবস্থিত
ban_03042_01060919050	সাভার মানিকগঞ্জ মহাসড়ক এর সাথেই চলতে থাকুন
ban_00737_01405850848	ঢাকা-ময়মনসিংহ মহাসড়কে বামদিকে বাঁক নিয়ে এগিয়ে চলুন
ban_03042_01782961587	ড্রিম ব্রিজ 5 রিসিভিং ইয়ার্ডে যেতে পেরেছে
ban_01232_00312868968	নিউইয়র্ক এ এখন 1% আদ্রতা
ban_00737_00032972394	চৌমাথায় প্রথম প্রস্থান ধরুন এবং ঢাকা-মাওয়া মহাসড়কে থাকুন
ban_03042_00587051275	ঢাকা কুষ্টিয়া মহাসড়ক এর সাথে এগিয়ে চলুন
ban_00737_01884995066	দুঃখিত আপনি কি তা সংরক্ষন করতে চান
ban_03042_01292222894	মুশফিক দুইবার দৌড়ে এসে রান করেছে
ban_01232_00479814503	s&p 500 এর মূল্য 1450 টাকায় নেমে গেছে
ban_01701_00409958572	এখানে আসন্ন এমন আরও খেলার খবর রইল
ban_01232_00138799488	ইউনিক হোটেল এন্ড রিসোর্ট বাংলাদেশের ওয়েস্টিন হোটেলের যাত্রা শুরু করে
ban_00737_01024755180	বাংলাদেশ সাবমেরিন কেবল কোম্পানির লক্ষ্য হল প্রধান কোম্পানি হিসেবে দেশব্যাপী সাবমেরিন ক্যাবলের টেলিযোগাযোগ সেবা প্রদান করে
ban_01232_01757876601	অগ্রসর হতে মনে রাখুন বা বাতিলের স্পর্শ করুন
ban_00737_00008514221	জয়দেবপুর টাঙ্গাইল জামালপুর মহাসড়ক এর সাথে চলতে থাকুন
ban_02194_00096589134	ফ্রিমাকে ট্রেনিং এর সময় আকিজ গ্রুপের দাম 2.3% বেড়ে 705 টাকা পর্যন্ত ওঠে
ban_01232_00705339150	পাঠান বা বাতিল বলুন
ban_01232_01480939727	ফুলপুর ময়মনসিংহ মহাসড়ক পর্যন্ত সোজা চলতে থাকুন
ban_03042_01602280081	প্রিমিয়ার ব্যাংকের কর্মপরিবেশ মানসম্মত
ban_03042_00187778136	আপনার হোটেল সুন্দরবন এ চেকিং এর সময় হল হাজার 900 মেয়ে দুপুর তিনটা
ban_02194_00701417439	পপুলার লাইফ ইন্সুরেন্স এর বিজ্ঞাপন টিভিতে চোখে পড়ে
ban_03042_00750746217	আল্পস পর্বতমালার অন্তর্গত
ban_00779_00177591615	হোটেল হিলটন সানফ্রান্সিসকোর 950 মেসন স্টেটে অবস্থিত
ban_00737_00176672702	বেইজিং অটোমোটিভ একটি চীনা রাষ্ট্রীয় উদ্যোগ ও নিয়ন্ত্রণকারী কোম্পানি
ban_03042_00549840010	এইগুলো আল্পসে ওঠার রাস্তা
ban_00737_00102697600	জক ডাউনলোড করা হচ্ছে
ban_02194_00233603204	এটি আপনার নোট আপনি কি এটা সংরক্ষণ করতে চান
ban_01232_00015332616	ঢাকা-সিলেট মহাসড়ক ধরে চলার জন্য মরে সেবায় চলুন
ban_03042_00533992231	pin2 বাংলাদেশ থেকে নেপালের উদ্দেশ্যে নির্ধারিত
ban_01232_00602661985	বরিশাল পিরোজপুর মহাসড়ক একসাথে চলতে থাকুন
ban_00737_01940767355	কারিনা সাউথ আমেরিকার হাসপাতালের মেডিকেল সামগ্রী সরবরাহ করে
ban_01701_00275140595	আশরাফুল তিনটি ডেট বল করেছেন
ban_03042_01397563530	জিমেইলে বাস ট্রেনের রিজার্ভেশন সংক্রান্ত কোন তথ্য পাওয়া যায়নি
ban_03042_00813493433	চট্টগ্রাম
ban_01232_00694561370	ব্রাতিস্লাভা স্লোভাকিয়ার রাজধানী
ban_03042_01890678617	ঢাকা-আরিচা মহাসড়কে থাকতে সোজা চলতে থাকুন
ban_01701_01453776969	পরিচিতির নাম অথবা বাতিল বলুন
ban_00779_01425458640	এনজামেনা চাঁদের রাজধানী
ban_03042_00509357932	শাকিব পাঁচটি উইকেট পেয়েছেন
ban_00737_01591094275	ঢাকা-ময়মনসিংহ মহাসড়কের সাথে চলতে থাকুন
ban_01232_00647181095	শেষ হয়েছিল 2.3% মূল্যে আজ এটা 750 টাকা
ban_00779_00165794648	জেরুজালেম প্যালেস্টাইনের রাজধানী
ban_01232_00934012906	প্রাইস আর্নিং রেশিও পাওয়া যাচ্ছে না
ban_03042_00780304942	মুনীর চৌধুরী
ban_02194_02024800697	নেশনাল হাউসিং ফাইন্যান্স অ্যান্ড ইনভেস্টমেন্ট নতুন ডিপোজিট স্কিম প্রকাশ করল
ban_02194_01094773134	লিমা পেরুর রাজধানী
ban_00779_00942736779	নিউইয়র্ক এ বাতাসের গতিবেগ প্রতি ঘন্টায় একমাইল ওতা উত্তর দিক থেকে প্রবাহিত হচ্ছে
ban_03042_01044235603	এটা আপনার সন্ধ্যা সাতটার রিমাইন্ডার আপনি কি এটা সেট করতে চান
ban_00779_00524263705	পান্থপথ
ban_03042_01629220702	1 ডিগ্রি সেলসিয়াস তাপমাত্রার সাথে ঝড়ো তুষারপাত
ban_01232_01815671313	কাজী নজরুল ইসলাম 25 মে 8893 সালে জন্মগ্রহণ করেন
ban_00779_00480917923	দুঃখিত আপনি কষ্ট অ্যালবামের আমি কষ্ট পেতে ভালোবাসি গানটি শুনতে চাই
ban_03042_00739792215	আব্দুল হামিদ খান ভাসানী দেশের মানুষের কাছে মজলুম জননেতা হিসেবে সমধিক পরিচিত
ban_00737_01011748988	আপনার কিছু মিটিং আছে
ban_03042_00863476224	এই হল আপনার সোমবারের রিমাইন্ডার এটা ঠিক করতে চান
ban_02194_01296241000	গোল্ডেন সান বাংলাদেশ ও তাইওয়ানের যৌথ উদ্যোগ পরিচালিত একটি প্রতিষ্ঠান
ban_01701_01163925718	বাংলাদেশ বিমানের ফ্লাইট 914 772 আগামীকাল দুপুর 3 টা পর্যন্ত দেরি হবে
ban_00779_01978446495	মাটিকাটা রোড দিকে বাম দিক ধরুন
ban_00737_01116177846	আগামী 19 মে আকার হোটেল সুন্দরবন ছেড়ে যাবার সময়
ban_00779_00064455089	ইউনাইটেড এয়ারলাইন্স 363 এর যাত্রা বিলম্বিত হয়েছে আজকে দুপুর তিনটায় তার ছেড়ে যাবে
ban_02194_00243503830	সিটি ব্যাংক দ্রুত ব্যাংকিং সেবা দিয়ে থাকে
ban_02194_01877982582	নিম্নে 1 ডিগ্রি সেলসিয়াস
ban_03042_00383802915	আবহাওয়ার পূর্বাভাস ভারী বর্ষণের সাথে 34 ডিগ্রি সেলসিয়াস তাপমাত্রা
ban_01232_01899130311	বাংলাদেশ বিমানের ফ্লাইট চৌদ্দশত 72 ওসমানী বিমানবন্দর থেকে যাত্রা করেছে
ban_03042_00002446993	চৌমাথায় কাকরাইল রোড এর দ্বিতীয় প্রস্থান ধরুন
ban_02194_00363730329	এখনো বুঝতে পারিনি সামনের দিকে এগোতে স্পর্শ করুন
ban_03042_01175490705	কোরিয়া ইলেকট্রিক পাওয়ার পারমাণবিক জ্বালানী খাতে ও জড়িত
ban_01701_00683088808	প্রিমারি ট্রেডিংয়ে মূল্য 2.3% নেমে 750 ডলার ঠেকেছে
ban_01232_01794250563	এখানে শিকাগো নদীর সেতু সমূহ আছে
ban_01701_00245159279	এই হল সানফ্রান্সিসকো হতে প্রস্থান করার ফ্লাইট এর তথ্য
ban_02194_01101175534	মাল্টিমোড ট্রান্সপোর্ট কনসালটেন্ট কোম্পানির ব্যবসার প্রধান কেন্দ্রবিন্দু ছিল জাহাজযোগে পণ্য প্রেরণ
ban_00779_01303400631	চৌমাথায় ফরিদপুর ভাঙ্গা মহাসড়ক এর দিকে দ্বিতীয় প্রস্থান করুন
ban_02194_00023883021	এই মাছগুলো তাহলে কি পাওয়া যায়
ban_00779_00406396563	অবশ্যই ছবিগুলো বিড়াল গুলোর
ban_00737_01267456937	পনম পেনঃ কম্বোডিয়ার রাজধানী
ban_03042_01232503977	রাজেন্দ্রপুর কাপাসিয়া টোক সড়ক থাকতে ডানদিক ধরুন
ban_00737_01200606990	না নিউইয়র্ক এ এই সপ্তাহের কোন তুষারপাত আশা করা যায় না
ban_03042_01450911834	ম্যারাথন পেট্রোলিয়াম একটি মার্কিন যুক্তরাষ্ট্রভিত্তিক তেল শোধনাগার প্লাইন পরিবহন কোম্পানি
ban_01232_01801995930	ব্লুটুথ চালু করছি
ban_01232_02058919510	এমএফ কনজুমার্স বাংলাদেশজুড়ে বিক্রয় কেন্দ্রের মাধ্যমে ডিস্ট্রিবিউশন নেটওয়ার্ক প্রতিষ্ঠা করেছে
ban_01232_01502702342	দুঃখিত লেবেলটি কি
ban_01232_01817403251	বাংলাদেশ বিশ্বকাপের 16 দলের পর্বে উঠেছে
ban_03042_01493466432	বাংলাদেশ বিমানের ফ্লাইট চৌদ্দশত 72 আগামীকাল গেট 1 থেকে ছেড়ে গিয়ে পৌঁছবে
ban_00737_01179243693	কোন পরিবর্তন ছাড়াই গুগোল 705 টাকায় বন্ধ হয়েছে
ban_00779_01959411607	গৌরীপুর কচুয়া রোড এ থাকতে বামদিক ধরুন
ban_02194_01871427455	জামালপুর শেরপুর মহাসড়কের দিকে দক্ষিণ-পূর্ব দিকে মুখ করে চলুন
ban_00737_00782654405	মাকে
ban_02194_00640811922	গ্রিনপিসের লঙ্গেস্ট নিকালতা আছে 5 ইয়ার
ban_02194_00565725598	জিও বিশ্বের 5 জন মোকাবেলায় সহযোগী রয়েছে
ban_01232_00724383774	আর্থিক খাতের প্রতিষ্ঠান ফার্স্ট ফাইন্যান্স লিমিটেড এ থেকে বি ক্যাটাগরিতে নেমে গেছে
ban_02194_01094972497	ফজলে হাসান আবেদ
ban_00779_01799941885	ঢাকা শহরে কমলাপুর স্টেশন থেকে নারায়ণগঞ্জ স্টেশনের দিকে নেভিগেট করছি
ban_02194_02117278310	দশ মাইলের ভেতর অবস্থিত স্টার কাবাব তালিকা দেয়া হলো
ban_03042_01548232469	আর্টিস্ট তালিকা
ban_02194_01332463999	কিছু বিড়াল ঠিক আছে
ban_01232_00012543764	ভারতের ট্রলি আমেটি ভারতীয় রাষ্ট্রনিয়ন্ত্রিত তেল ও গ্যাস কোম্পানি
ban_00737_01472894779	রিলায়েন্স ইন্ডাস্ট্রিজ এর প্রতিষ্ঠাতা ধীরুভাই আম্বানি
ban_03042_01755005376	ব্রাসিলিয়া ব্রাজিলের রাজধানী
ban_01232_00216747435	শেখ হাসিনা 28 সেপ্টেম্বর 1947 সালে টুঙ্গিপাড়ায় জন্মগ্রহণ করেন
ban_01701_01759806159	হাজার 975 সালের 15 ই আগস্ট শেখ মুজিবুর রহমানকে ধানমন্ডিস্থ বাসভবনে হত্যা করা হয়
ban_02194_00317295910	এস এম সুলতানের বাবার নাম শেখ মোহাম্মদ মেসের আলী
ban_00779_00792276898	আসলে এলার্ম এর পুনরাবৃত্তি প্রতিদিন অথবা প্রতি সপ্তাহে সম্ভব হতে পারে
ban_03042_02034439662	বগুড়ার জন্য আজকের সর্বোচ্চ তাপমাত্রা পূর্বাভাস হল 34 ডিগ্রি সেলসিয়াস
ban_01232_00489762836	ড্রিল ব্রিজ পাঁচবার জোরপূর্বক পাগল করেছে
ban_02194_02016741534	ইউক্রেনের রাজধানী
ban_01232_01884423897	ইভেন্টি কখন শুধু ইভেন্টের দিন ও সময় বলুন যেমন শনিবার দুপুর তিনটায়
ban_03042_00414398696	কুমিল্লা-সিলেট মহাসড়কে থাকতে ডানদিকে চলুন
ban_01232_00251890887	ত্রিমাত্রিক ট্রেনিং এর সময় গুগলের দাম 2.3% কমে 750 ডলারের ঠেকেছে
ban_01232_01671509296	হাক্কানী মোটর চট্টগ্রামে অবস্থিত একটি অগ্রণী ট্রান্সপোর্ট কোম্পানি
ban_03042_00905134741	মক্কা প্রিন্টিং এন্ড প্যাকেজিং প্রিন্টিং এন্ড প্যাকেজিং এর দায়িত্ব পালন করে
ban_01232_00935549607	আপনার কাছে কামালের কোন ইমেইল ঠিকানা নেই
ban_00737_00877770303	আপনার পরবর্তী ফ্লাইট ইউনাইটেড অ্যালায়েন্স চৌদ্দশত 72
ban_02194_00033176961	গুগলের মার্কেট ক্যাপ 1.23 বিলিয়ন ডলার
ban_00737_00754800136	যশোর
ban_02194_01621231039	বেক্সিমকো ফিশারিজ বাংলাদেশের হিমায়িত খাদ্য রপ্তানিকারক প্রতিষ্ঠান
ban_03042_00772923939	সব ঠিক আছে বিড়ালগুলো
ban_00737_01543133351	বেলগ্রেড সার্বিয়ার রাজধানী
ban_02194_00607093745	ট্রাস্ট ব্যাংক আর্মি ওয়েলফেয়ার ট্রাস্ট দ্বারা পরিচালিত হয়
ban_00737_01081406516	মোহামেডান তাদের প্রথম ইনিংসে ভর করছে
ban_00737_00652407101	এই নিন বিড়ালগুলো
ban_00737_00109400722	ভাইকিংস ম্যানচেস্টার ইউনাইটেড থেকে 3423 এগিয়ে আছে
ban_00737_01442982727	স্টকহোম সুইডেন এর রাজধানী
ban_02194_00272511105	হ্যাঁ আজমিরকে রোধ করতে পারে
ban_03042_01187305381	এটি নিশ্চিত করতে পর্দার উপর স্পর্শ করুন
ban_01701_00188045303	আব্দুল জব্বার
ban_00737_01145918347	কেয়া ভাড়া নেবার জন্য অ্যাপ খোলা হচ্ছে
ban_03042_00796528511	হ্যাঁ
ban_01232_01726737293	না এখন নিউইয়র্ক এ তুষারপাত হচ্ছে না
ban_00779_01027245814	ইমেইল বাতিল করা হচ্ছে
ban_03042_00426816235	পুরাতন এলিফ্যান্ট রোডে বামদিকে বাক নিন
ban_01232_00952345343	শাকিব দীর্ঘতম রানা 2 মিটার
ban_02194_00030304910	কলম্বো শ্রীলংকার রাজধানী
ban_01232_01061068116	আপনার বাড়ি থেকে ট্রাফিক দেখানো হচ্ছে
ban_02194_00063966107	বাংলাদেশ লাগেজ ইন্ডাস্ট্রিজ রপ্তানিমুখী নরম লাগের ট্রাভেল ব্যাগ ব্যায়ামের পোশাক ছাতার কাপড় রেইনকোট এবং বিভিন্ন ধরনের খেলাধুলার পোশাক তৈরিতে নিযুক্ত
ban_03042_01740153077	পাঁচবিবি
ban_03042_01240946939	আসলে এই ডিভাইসে কোন ফ্ল্যাশ লাইট নেই
ban_03042_01584309089	ফার কেমিক্যাল ইন্ডাস্ট্রিজ কুমিল্লা ইপিজেডে অবস্থিত একটি টেক্সটাইল ও রাসায়নিক শিল্প প্রতিষ্ঠান
ban_00737_01843422323	উনারা বারাক ওবামার ভাই বোন
ban_00779_00158324905	চট্টগ্রাম হাটহাজারী মহাসড়ক অনুসরণ করতে থাকুন
ban_00737_00375964985	আরিচা
ban_01701_00585997354	ফার্মগেট তেজতুরি বাজার সড়কে বামদিক ধরুন
ban_00737_00347043778	হুমায়ুন আজাদ হাজার 947 সালে মুন্সিগঞ্জ জেলার বিক্রমপুরে তার নানাবাড়ি কামড়াবে জন্ম নেন
ban_02194_00374393693	মনরোভিয়া লাইবেরিয়া রাজধানী
ban_03042_00478651902	সামিট অ্যালায়েন্স পোর্ট সামিট গ্রুপ ও অ্যালায়েন্স হোল্ডিংসের যৌথ উদ্যোগে প্রতিষ্ঠিত হয়
ban_01701_00202462467	জনকে মোবাইলে ভিডিও কল করা হচ্ছে
ban_03042_00352305224	বেগুসরাই গালপা হন্ডুরাসের রাজধানী
ban_03042_00806167900	ওয়াশিংটন ডিসি মার্কিন যুক্তরাষ্ট্রের রাজধানী
ban_00779_01059537587	ফজলে হাসান আবেদ সামাজিক উন্নয়নে অসামান্য ভূমিকার জন্য যেমন ম্যাগসেসে পুরস্কার পান
