ActualText	ActualWords	FileName	PredWords	PredictedText	actual_word	deletions	hits	insertions	mer	miss_pred_word	substitutions	wer	wil	wip
তাহা লইয়া ন্যায্য	['তাহা', 'লইয়া', 'ন্যায্য']	000d57ddbf	['তাহা', 'লইয়া', 'ন্যায্য']	তাহা লইয়া ন্যায্য	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বা অ্যালার্জির বংশগত রোগ যুক্ত	['বা', 'অ্যালার্জির', 'বংশগত', 'রোগ', 'যুক্ত']	000d7874ee	['বা', 'অ্যালার্জি', 'বংশগত', 'রোগ', 'যুক্ত']	বা অ্যালার্জি বংশগত রোগ যুক্ত	['অ্যালার্জির']	0.0	4.0	0.0	0.2	['অ্যালার্জি']	1.0	0.2	0.36	0.64
শাসন করত	['শাসন', 'করত']	000dc2f08b	['শাসন', 'করতো']	শাসন করতো	['করত']	0.0	1.0	0.0	0.5	['করতো']	1.0	0.5	0.75	0.25
মনোযোগ দিয়েছে	['মনোযোগ', 'দিয়েছে']	000f852677	['মনোযোগ', 'দিয়েছে']	মনোযোগ দিয়েছে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পাকিস্তানের ৫৪-সদস্যের দল	['পাকিস্তানের', '৫৪-সদস্যের', 'দল']	001050deb2	['পাকিস্তানের', '54', 'সদস্যের', 'দল']	পাকিস্তানের 54 সদস্যের দল	['৫৪-সদস্যের']	0.0	2.0	1.0	0.5	['54', 'সদস্যের']	1.0	0.67	0.67	0.33
এই দ্বিগুণ দাম	['এই', 'দ্বিগুণ', 'দাম']	00110b32d4	['এই', 'দ্বিগুণ', 'নাম']	এই দ্বিগুণ নাম	['দাম']	0.0	2.0	0.0	0.33	['নাম']	1.0	0.33	0.56	0.44
প্রায়ই ‘এককাট্টা শ্রেণী’ হিসেবে নিয়েছেন	['প্রায়ই', '‘এককাট্টা', 'শ্রেণী', 'হিসেবে', 'নিয়েছেন']	00112a63e8	['প্রায়', 'এক', 'কাটা', 'শ্রেণী', 'হিসেবে', 'নিয়েছেন']	প্রায় এক কাটা শ্রেণী হিসেবে নিয়েছেন	['‘এককাট্টা', 'প্রায়ই']	0.0	3.0	1.0	0.5	['কাটা', 'প্রায়', 'এক']	2.0	0.6	0.7	0.3
কষ্টের কথা	['কষ্টের', 'কথা']	00113d863f	['কষ্টের', 'কথা']	কষ্টের কথা	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
টেলিফিল্ম, নাটক ও চলচ্চিত্রে	['টেলিফিল্ম', 'নাটক', 'ও', 'চলচ্চিত্রে']	0011dc9c2f	['টেলিফিল্ম', 'নাটক', 'ও', 'চলচ্চিত্রে']	টেলিফিল্ম নাটক ও চলচ্চিত্রে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মীর কাসেম আলীর বিরুদ্ধে	['মীর', 'কাসেম', 'আলীর', 'বিরুদ্ধে']	0011edfd6e	['মীর', 'কাসেম', 'আলীর', 'বিরুদ্ধে']	মীর কাসেম আলীর বিরুদ্ধে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সবচেয়ে দামী খাবারটি	['সবচেয়ে', 'দামী', 'খাবারটি']	00122e09b7	['সবচেয়ে', 'দামি', 'খাবারটি']	সবচেয়ে দামি খাবারটি	['দামী']	0.0	2.0	0.0	0.33	['দামি']	1.0	0.33	0.56	0.44
প্রিয় শাবিপ্রবির উদ্দেশে	['প্রিয়', 'শাবিপ্রবির', 'উদ্দেশে']	0012321d7b	['প্রিয়', 'শাবিপ্রবির', 'উদ্দেশ্যে']	প্রিয় শাবিপ্রবির উদ্দেশ্যে	['উদ্দেশে']	0.0	2.0	0.0	0.33	['উদ্দেশ্যে']	1.0	0.33	0.56	0.44
অথচ কোনো খবর নেই	['অথচ', 'কোনো', 'খবর', 'নেই']	00128c7353	['অথচ', 'কোন', 'খবর', 'নাই']	অথচ কোন খবর নাই	['নেই', 'কোনো']	0.0	2.0	0.0	0.5	['কোন', 'নাই']	2.0	0.5	0.75	0.25
আঙুলের নখ	['আঙুলের', 'নখ']	0012b9b651	['আঙ্গুলের', 'নখ']	আঙ্গুলের নখ	['আঙুলের']	0.0	1.0	0.0	0.5	['আঙ্গুলের']	1.0	0.5	0.75	0.25
দীর্ঘ দিন	['দীর্ঘ', 'দিন']	0012fe9553	['দীর্ঘদিন']	দীর্ঘদিন	['দিন', 'দীর্ঘ']	1.0	0.0	0.0	1.0	['দীর্ঘদিন']	1.0	1.0	1.0	0.0
শিগগিরই একটা ভালো	['শিগগিরই', 'একটা', 'ভালো']	00133b44f7	['শীঘ্রই', 'একটা', 'ভালো']	শীঘ্রই একটা ভালো	['শিগগিরই']	0.0	2.0	0.0	0.33	['শীঘ্রই']	1.0	0.33	0.56	0.44
দ্বিতীয় বাছাই	['দ্বিতীয়', 'বাছাই']	001352d84c	['দ্বিতীয়', 'বাছাই']	দ্বিতীয় বাছাই	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
লেবাননের সীমান্তে	['লেবাননের', 'সীমান্তে']	0013a12315	['লেবাননের', 'সীমান্তে']	লেবাননের সীমান্তে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
উদাহরণস্বরূপ বলা	['উদাহরণস্বরূপ', 'বলা']	0013c091de	['উদাহরণস্বরূপ', 'বলা']	উদাহরণস্বরূপ বলা	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এছাড়াও সহিংসতায়	['এছাড়াও', 'সহিংসতায়']	0014058b5f	['এছাড়াও', 'সহিংসতায়']	এছাড়াও সহিংসতায়	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সাজানোর জন্য	['সাজানোর', 'জন্য']	001415e92d	['সাজানোর', 'জন্য']	সাজানোর জন্য	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মনিরুজ্জামান চৌধুরীর হাতে	['মনিরুজ্জামান', 'চৌধুরীর', 'হাতে']	0014eb81c0	['মনিরুজ্জামান', 'চৌধুরীর', 'হাতে']	মনিরুজ্জামান চৌধুরীর হাতে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মুশকিল আসানকারীদের প্রচারপত্রে	['মুশকিল', 'আসানকারীদের', 'প্রচারপত্রে']	00150297ca	['মুশকিল', 'আসান', 'কারীদের', 'প্রচারপত্রে']	মুশকিল আসান কারীদের প্রচারপত্রে	['আসানকারীদের']	0.0	2.0	1.0	0.5	['আসান', 'কারীদের']	1.0	0.67	0.67	0.33
নিজেও আত্মহত্যা করেন	['নিজেও', 'আত্মহত্যা', 'করেন']	001528b596	['নিজেও', 'আত্মহত্যা', 'করেন']	নিজেও আত্মহত্যা করেন	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আমি তোমার	['আমি', 'তোমার']	00154bb7d4	['আমি', 'তোমার']	আমি তোমার	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
৬০০ থেকে ৮০০ মেগাওয়াট	['৬০০', 'থেকে', '৮০০', 'মেগাওয়াট']	0015b27f63	['600', 'থেকে', '800', 'মেগাওয়াট']	600 থেকে 800 মেগাওয়াট	['৬০০', '৮০০']	0.0	2.0	0.0	0.5	['800', '600']	2.0	0.5	0.75	0.25
তাঁর এই স্বীকারোক্তি	['তাঁর', 'এই', 'স্বীকারোক্তি']	0015eb3a5f	['তার', 'এই', 'স্বীকারোক্তি']	তার এই স্বীকারোক্তি	['তাঁর']	0.0	2.0	0.0	0.33	['তার']	1.0	0.33	0.56	0.44
যেসব খাবার খাওয়া হচ্ছে	['যেসব', 'খাবার', 'খাওয়া', 'হচ্ছে']	00165b8335	['যেসব', 'খাবার', 'খাওয়া', 'হচ্ছে']	যেসব খাবার খাওয়া হচ্ছে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বাংলা উইকিপিডিয়া	['বাংলা', 'উইকিপিডিয়া']	0016782bd0	['বাংলা', 'উইকিপিডিয়া']	বাংলা উইকিপিডিয়া	['উইকিপিডিয়া']	0.0	1.0	0.0	0.5	['উইকিপিডিয়া']	1.0	0.5	0.75	0.25
কারণ রাজের জন্যই তো	['কারণ', 'রাজের', 'জন্যই', 'তো']	0016f4aa06	['কারণ', 'রাজ', 'এর', 'জন্যই', 'তো']	কারণ রাজ এর জন্যই তো	['রাজের']	0.0	3.0	1.0	0.4	['রাজ', 'এর']	1.0	0.5	0.55	0.45
মামলা নিষ্পত্তি করতে হবে	['মামলা', 'নিষ্পত্তি', 'করতে', 'হবে']	0016fc111c	['মামলা', 'নিষ্পত্তি', 'করতে', 'হবে']	মামলা নিষ্পত্তি করতে হবে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আকাশের বুকে এক জ্বলন্ত অগ্নিকুণ্ড	['আকাশের', 'বুকে', 'এক', 'জ্বলন্ত', 'অগ্নিকুণ্ড']	00171dce25	['আকাশের', 'বুকে', 'এক', 'জ্বলন্ত', 'অগ্নিকুণ্ড']	আকাশের বুকে এক জ্বলন্ত অগ্নিকুণ্ড	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বাংলাদেশের পুলিশ বিভাগে কর্মরত	['বাংলাদেশের', 'পুলিশ', 'বিভাগে', 'কর্মরত']	00180e5568	['বাংলাদেশের', 'পুলিশ', 'বিভাগে', 'কর্মরত']	বাংলাদেশের পুলিশ বিভাগে কর্মরত	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শেষ হওয়ার কথা ছিল	['শেষ', 'হওয়ার', 'কথা', 'ছিল']	00185f8299	['শেষ', 'হওয়ার', 'কথা', 'ছিল']	শেষ হওয়ার কথা ছিল	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ওদের সঙ্গে চলে না	['ওদের', 'সঙ্গে', 'চলে', 'না']	0018e80698	['ওদের', 'সঙ্গে', 'চলে', 'না']	ওদের সঙ্গে চলে না	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
প্রতিরোধের আভাস থাকলেও	['প্রতিরোধের', 'আভাস', 'থাকলেও']	001992bbc9	['প্রতিরোধের', 'আভাস', 'থাকলেও']	প্রতিরোধের আভাস থাকলেও	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
একটি বিনোদনপত্রিকায় কুৎসিত ভাষায়	['একটি', 'বিনোদনপত্রিকায়', 'কুৎসিত', 'ভাষায়']	0019a76004	['একটি', 'বিনোদন', 'পত্রিকায়', 'কুৎসিত', 'ভাষায়']	একটি বিনোদন পত্রিকায় কুৎসিত ভাষায়	['বিনোদনপত্রিকায়']	0.0	3.0	1.0	0.4	['পত্রিকায়', 'বিনোদন']	1.0	0.5	0.55	0.45
আইন এবং রাজনীতির আবির্ভাব হলো	['আইন', 'এবং', 'রাজনীতির', 'আবির্ভাব', 'হলো']	0019b7ce7f	['আইন', 'এবং', 'রাজনীতির', 'আবির্ভাব', 'হলো']	আইন এবং রাজনীতির আবির্ভাব হলো	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
খাড়া পাহাড়-প্রাচীরের তলার দিকে	['খাড়া', 'পাহাড়-প্রাচীরের', 'তলার', 'দিকে']	0019cda4ca	['খাড়া', 'পাহাড়', 'প্রাচীরের', 'তলার', 'দিকে']	খাড়া পাহাড় প্রাচীরের তলার দিকে	['পাহাড়-প্রাচীরের']	0.0	3.0	1.0	0.4	['প্রাচীরের', 'পাহাড়']	1.0	0.5	0.55	0.45
টিনের স্যুটকেস	['টিনের', 'স্যুটকেস']	001aef3bb2	['টিনের', 'সুটকেস']	টিনের সুটকেস	['স্যুটকেস']	0.0	1.0	0.0	0.5	['সুটকেস']	1.0	0.5	0.75	0.25
ভারতের শতাধিক প্রেক্ষাগৃহে	['ভারতের', 'শতাধিক', 'প্রেক্ষাগৃহে']	001b710504	['ভারতের', 'শতাধিক', 'প্রেক্ষাগৃহে']	ভারতের শতাধিক প্রেক্ষাগৃহে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মুজিবুর রহমানকেও	['মুজিবুর', 'রহমানকেও']	001bdb23d2	['মুজিবুর', 'রহমানকে']	মুজিবুর রহমানকে	['রহমানকেও']	0.0	1.0	0.0	0.5	['রহমানকে']	1.0	0.5	0.75	0.25
আফগানিস্তান বা পাকিস্তানে কাজকে	['আফগানিস্তান', 'বা', 'পাকিস্তানে', 'কাজকে']	001be0a9e1	['আফগানিস্তান', 'বা', 'পাকিস্তানে', 'কাজকে']	আফগানিস্তান বা পাকিস্তানে কাজকে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
দুটো আরামদায়ক শয়ন-কক্ষ	['দুটো', 'আরামদায়ক', 'শয়ন-কক্ষ']	001cebb990	['দুটো', 'আরামদায়ক', 'স্বয়ং', 'কক্ষ']	দুটো আরামদায়ক স্বয়ং কক্ষ	['শয়ন-কক্ষ']	0.0	2.0	1.0	0.5	['কক্ষ', 'স্বয়ং']	1.0	0.67	0.67	0.33
সেপ্টেম্বর ১৩, ১৯০৪	['সেপ্টেম্বর', '১৩', '১৯০৪']	001d1c3e9b	['সেপ্টেম্বর', '13', 'হাজার', '904']	সেপ্টেম্বর 13 হাজার 904	['১৯০৪', '১৩']	0.0	1.0	1.0	0.75	['13', 'হাজার', '904']	2.0	1.0	0.92	0.08
মেনে নিলেন	['মেনে', 'নিলেন']	001d61b062	['মেনে', 'নিলেন']	মেনে নিলেন	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পরে দেখলাম	['পরে', 'দেখলাম']	001dd3979d	['পরে', 'দেখলাম']	পরে দেখলাম	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মানুষকে উদ্ধার করতে পারে	['মানুষকে', 'উদ্ধার', 'করতে', 'পারে']	001dd81463	['মানুষকে', 'উদ্ধার', 'করতে', 'পারে']	মানুষকে উদ্ধার করতে পারে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এতে হামিদুল	['এতে', 'হামিদুল']	001e458443	['এতে', 'হামিদুল']	এতে হামিদুল	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
জনসংখ্যা বৃদ্ধির হার	['জনসংখ্যা', 'বৃদ্ধির', 'হার']	001f1ac9c6	['জনসংখ্যা', 'বৃদ্ধির', 'হার']	জনসংখ্যা বৃদ্ধির হার	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ভূমিকা ছিল	['ভূমিকা', 'ছিল']	001f3a31d1	['ভূমিকা', 'ছিল']	ভূমিকা ছিল	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
৫-৬জন যুবক	['৫-৬জন', 'যুবক']	001f51dfd8	['56', 'জন', 'যুবক']	56 জন যুবক	['৫-৬জন']	0.0	1.0	1.0	0.67	['56', 'জন']	1.0	1.0	0.83	0.17
স্থগিত করেছেন	['স্থগিত', 'করেছেন']	001f8d0ee1	['স্থগিত', 'করেছেন']	স্থগিত করেছেন	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তাৎক্ষণিকভাবে এর কারণ জানা যায়নি	['তাৎক্ষণিকভাবে', 'এর', 'কারণ', 'জানা', 'যায়নি']	00200225f5	['তাৎক্ষণিকভাবে', 'এর', 'কারণ', 'জানা', 'যায়নি']	তাৎক্ষণিকভাবে এর কারণ জানা যায়নি	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
